gold_label	sentence1	sentence2
Support	A tan curly-haired dog jumps in the snow with a stick in its mouth.	The dog will never leave a stick alone until it get something else in his mouth.
Neutral	A tan curly-haired dog jumps in the snow with a stick in its mouth.	It is fun to watch a dog playing in snow.
Invalidate	A kid skateboards down a set of railings on a snowy day.	The kid packs his skateboards.
Support	A kid skateboards down a set of railings on a snowy day.	While skateboarding
Neutral	A kid skateboards down a set of railings on a snowy day.	All the kids love skateboarding but they should be very careful while skating.
Invalidate	School children walking in line past a church on a sunny day.	They are entering into bible school
Support	School children walking in line past a church on a sunny day.	The teachers are ensuring that they are all on foot path
Neutral	School children walking in line past a church on a sunny day.	Managing traffic in school zone causes delays
Invalidate	Two teams of women, one in blue and white and one in green and white, are playing volleyball.	The blue team is celebrating their victory over the green team.
Support	Two teams of women, one in blue and white and one in green and white, are playing volleyball.	The volleyball game is currently tied at four points each.
Neutral	Two teams of women, one in blue and white and one in green and white, are playing volleyball.	The green team has not won a single game.
Invalidate	This person is rock climbing.	He is astonished at the view from the top of mountain
Support	This person is rock climbing.	He is balancing ropes at difficult junctures
Neutral	This person is rock climbing.	Hiking can give greater experience of nature
Invalidate	Two men and two women dressed in old English attire hold hands and form a circle on a stage as a young girl runs by.	The audience applauds and prepares to leave the theater
Support	Two men and two women dressed in old English attire hold hands and form a circle on a stage as a young girl runs by.	It is the first staging of their new show
Neutral	Two men and two women dressed in old English attire hold hands and form a circle on a stage as a young girl runs by.	The theater is one of the largest in the region and seats nearly 300 people
Invalidate	A shirtless man catches a football	The shirtless man go to sleep.
Support	A shirtless man catches a football	He has just stopped the shot.
Neutral	A shirtless man catches a football	The referee has issued three yellowcards in this game.
Invalidate	A man with shades and a black shirt on performing passionately on stage.	The man gets some food at a restaurant.
Support	A man with shades and a black shirt on performing passionately on stage.	The man tries to make the performance his best yet.
Neutral	A man with shades and a black shirt on performing passionately on stage.	Most people get stage fright when performing.
Invalidate	A man in lime jacket and red hat jogs on an empty road.	The man gets some food at a restaurant.
Support	A man in lime jacket and red hat jogs on an empty road.	The man tries to keep a steady pace.
Neutral	A man in lime jacket and red hat jogs on an empty road.	Most people see jogging as a good form of exercise.
Invalidate	Three athletes in red and white uniforms and helmets.	Three athletes giving interview to press with their cups in hand.
Support	Three athletes in red and white uniforms and helmets.	The three athletes wearing the gloves and checking the safety belt .
Neutral	Three athletes in red and white uniforms and helmets.	Now a days athletes like to wear colourful uniform.
Invalidate	a black man is jumping and a crowd is gathered	The man gets some food at a restaurant.
Support	a black man is jumping and a crowd is gathered	The man leaps as high as he can.
Neutral	a black man is jumping and a crowd is gathered	Most people like to jump in the air.
Invalidate	A man and woman are dancing closely.	Everyone had gone home for the evening.
Support	A man and woman are dancing closely.	He spun her softly and dipped her low.
Neutral	A man and woman are dancing closely.	Dancing is a wonderful way to stay active.
Invalidate	Children play in a soccer game.	All the kids are napping
Support	Children play in a soccer game.	The kids are good at passing the ball with their feet
Neutral	Children play in a soccer game.	It is recess time at school
Invalidate	Two women on the beach, looking at a tattoo on one of their backs.	They are swimming in the beach.
Support	Two women on the beach, looking at a tattoo on one of their backs.	They are observing the tattoo in the sunshine.
Neutral	Two women on the beach, looking at a tattoo on one of their backs.	The colours on the tattoo can fade if it is exposed to direct sunlight.
Invalidate	A little girl in a pink genie outfit stepping over a puddle.	The girl gets some food at the snack bar.
Support	A little girl in a pink genie outfit stepping over a puddle.	The girl makes sure to avoid the water.
Neutral	A little girl in a pink genie outfit stepping over a puddle.	Most people do not like stepping in puddles.
Invalidate	A man in a blue shirt is read a piece of paper.	His bed was really confortable
Support	A man in a blue shirt is read a piece of paper.	The letters were hard to read
Neutral	A man in a blue shirt is read a piece of paper.	His son asked him to help to do his homework
Invalidate	a barefoot man in black shorts is sleeping on a doorstep in front of a red door.	The man stands up and walks away from the door.
Support	a barefoot man in black shorts is sleeping on a doorstep in front of a red door.	The man rolls over and snores in his sleep.
Neutral	a barefoot man in black shorts is sleeping on a doorstep in front of a red door.	There's a big homeless population in this town.
Invalidate	There is a lady walking with bag possibly groceries	She has put away all the purchases in the cupboards.
Support	There is a lady walking with bag possibly groceries	She is tired because fo the weight of the bags.
Neutral	There is a lady walking with bag possibly groceries	She does her shopping once a week on average.
Invalidate	A man in his boat on the lake	He happily fries his fish back at camp.
Support	A man in his boat on the lake	He catches a lot of fish.
Neutral	A man in his boat on the lake	Having a hobby is rewarding and relaxing.
Invalidate	Female choir all dressed in black giving a performance.	There's only a white woman cleaning a window
Support	Female choir all dressed in black giving a performance.	Accompanying the women in the performance is an orchestra and dancers
Neutral	Female choir all dressed in black giving a performance.	To demonstrate this you have to see ahead
Invalidate	The brown dog is on a leash and appears to be playing with the white and brown colored dog.	There are no animals there.
Support	The brown dog is on a leash and appears to be playing with the white and brown colored dog.	They bark and wag their tails at one another.
Neutral	The brown dog is on a leash and appears to be playing with the white and brown colored dog.	It is easy to see why dogs are man's best friend.
Invalidate	Two men are talking while another looks on.	The men are going to reach their home
Support	Two men are talking while another looks on.	The discussion topic is quite interesting
Neutral	Two men are talking while another looks on.	Spending quality time with others will bring happiness and free our mind.
Invalidate	Two women in shorts sitting on the steps of an apartment or house.	The women have entered the Uber they were waiting for.
Support	Two women in shorts sitting on the steps of an apartment or house.	The women talk about their plans to go shopping in the city.
Neutral	Two women in shorts sitting on the steps of an apartment or house.	The stoop is now occupied by three men.
Invalidate	A waiting lounge with passengers waiting around on blue seating.	The flashing lights of final plane taking off can be seen in the night sky through the airport lounge window.
Support	A waiting lounge with passengers waiting around on blue seating.	Passengers eating egg and bacon rolls for breakfast as they are waiting in the lounge for their departure time.
Neutral	A waiting lounge with passengers waiting around on blue seating.	Some passengers chatted
Invalidate	A snowboarder slides through the freshly fallen powder snow.	They remove their wet snow boots and snow goggles as they enter the ski lodge for an apres ski hot chocolate.
Support	A snowboarder slides through the freshly fallen powder snow.	They crest a small hill and catch some air.
Neutral	A snowboarder slides through the freshly fallen powder snow.	After a heavy snow
Invalidate	Two hockey players compete on the ice.	as it is too cool
Support	Two hockey players compete on the ice.	it is too freaking that they are getting skid on the ice
Neutral	Two hockey players compete on the ice.	some people don't like to play outdoor games on the ice
Invalidate	A man wearing black is sitting by a lamp post smoking a cigarette.	He is going to office
Support	A man wearing black is sitting by a lamp post smoking a cigarette.	He feels very tensed today and tried to bust the stress
Neutral	A man wearing black is sitting by a lamp post smoking a cigarette.	As the usage of tobacco product is not good for health
Invalidate	Someone casts a fishing line into a body of water.	The person gets some food at a restaurant.
Support	Someone casts a fishing line into a body of water.	The person throws the line as far as they can.
Neutral	Someone casts a fishing line into a body of water.	Most people find fishing to be relaxing.
Invalidate	Three young boys wearing school uniforms pose and smile for the camera.	Boys are talking each other.
Support	Three young boys wearing school uniforms pose and smile for the camera.	They want to have better pictures .
Neutral	Three young boys wearing school uniforms pose and smile for the camera.	Boys like to wear their uniform dress.
Invalidate	Ethnic teen sitting and holding his skateboard.	There was no one visible from here since it is rainy.
Support	Ethnic teen sitting and holding his skateboard.	He knows he should be wearing a be he'd forgotten this morning.
Neutral	Ethnic teen sitting and holding his skateboard.	Skateboarding is a great form of exercise.
Invalidate	Four people are on a ski slope.	They are returning home with their friends
Support	Four people are on a ski slope.	with the four people skiing
Neutral	Four people are on a ski slope.	Four people met their two friend on ski slope
Invalidate	Two girls watch a reaction while mixing liquids on a lab table.	The bell had rang and everyone had left for the day.
Support	Two girls watch a reaction while mixing liquids on a lab table.	They gasped as a small puff of smoke exploded inforont of them.
Neutral	Two girls watch a reaction while mixing liquids on a lab table.	You should always wear safety goggles when mixing chemicals.
Invalidate	A person wearing a white tank top is holding a microphone.	The person finished singing a song.
Support	A person wearing a white tank top is holding a microphone.	The person is singing a melodious song.
Neutral	A person wearing a white tank top is holding a microphone.	There are many people in the club.
Invalidate	An elderly man shaves carrots while onlookers watch.	The man takes a nap in his bed.
Support	An elderly man shaves carrots while onlookers watch.	The man puts the carrots in a dish.
Neutral	An elderly man shaves carrots while onlookers watch.	Most people like to eat carrots.
Invalidate	Three trolley cars are on the street with cars behind them.	cars are parked at garage colored in red
Support	Three trolley cars are on the street with cars behind them.	people are coming out of cars parked behind trolley cars
Neutral	Three trolley cars are on the street with cars behind them.	The cars are near the beach
Invalidate	A technician welding metal on a canister.	The technician collected his payment from his client after a successful job.
Support	A technician welding metal on a canister.	The man enjoys the look of the sparks as he welds the canister
Neutral	A technician welding metal on a canister.	He is the greatest welder ever.
Invalidate	Townspeople gathered for a festival.	towns people gather for a meeting to refrect the result of festival
Support	Townspeople gathered for a festival.	towns people are enojoying the carnival
Neutral	Townspeople gathered for a festival.	towns people always organise carnivals
Invalidate	A waiting lounge with passengers waiting around on blue seating.	The room is completely empty.
Support	A waiting lounge with passengers waiting around on blue seating.	They are all waiting on transport to the next phase of their adventures.
Neutral	A waiting lounge with passengers waiting around on blue seating.	Waiting rooms typically have reading material to help you pass the time.
Invalidate	Two dogs outside fighting over a red Frisbee.	The dogs are playing with yarn balls outside.
Support	Two dogs outside fighting over a red Frisbee.	Man's best friend is happily enjoying themselves in the yard right now
Neutral	Two dogs outside fighting over a red Frisbee.	Fudge brownies are for sale tomorrow at school!
Invalidate	Some boys in orange uniforms are playing soccer.	as it is too hot outside
Support	Some boys in orange uniforms are playing soccer.	the soccer league is coming by the end of this month
Neutral	Some boys in orange uniforms are playing soccer.	many soccer teams are seriously attending the training for the league
Invalidate	A boy is getting ready to play baseball.	The boy is preparing  dinner for his family.
Support	A boy is getting ready to play baseball.	The boy is  practicing  hard  in the ground.
Neutral	A boy is getting ready to play baseball.	These days kids are really hard working.
Invalidate	A young girl is seating in front of a machines pressing buttons.	A young girl is walking out of a casino with her parents.
Support	A young girl is seating in front of a machines pressing buttons.	Using the machines can be fun for the young girl.
Neutral	A young girl is seating in front of a machines pressing buttons.	Technology has changed the way of having fun.
Invalidate	A small Asian street band plays in a city park.	They are going to reach home
Support	A small Asian street band plays in a city park.	Their performance pulls a large crowd as they used some new tunes and songs today
Neutral	A small Asian street band plays in a city park.	Playing a good music helps to reach all kinds of peoples in a little period of time
Invalidate	A man singing into a microphone.	The man is leaving the show.
Support	A man singing into a microphone.	He is performing at a night club.
Neutral	A man singing into a microphone.	It takes courage to perform in front of a crowd.
Invalidate	People making food on a giant turntable fryer.	The people take naps in their respective beds.
Support	People making food on a giant turntable fryer.	The people try to make the best cuisine.
Neutral	People making food on a giant turntable fryer.	Most people like to make food.
Invalidate	men are covered in some red color, not wearing a top and playing checkers.	They are going to have lunch
Support	men are covered in some red color, not wearing a top and playing checkers.	They are enjoying the day by spending time on a board game.
Neutral	men are covered in some red color, not wearing a top and playing checkers.	A 2 players indoor game
Invalidate	Several people in traditional folk dress are dancing in the street.	They seem to prefer to sit and eat at a table
Support	Several people in traditional folk dress are dancing in the street.	It seems that folk is a very difficult style of dance for them
Neutral	Several people in traditional folk dress are dancing in the street.	The origin of folk style is not known exactly
Invalidate	Woman in long blue jacket talks on cellphone in front of large window.	a heavy rain with thunderous crash made people close windows and doors
Support	Woman in long blue jacket talks on cellphone in front of large window.	it is gratifying to see a woman wearing a coat I designed in the last collection
Neutral	Woman in long blue jacket talks on cellphone in front of large window.	Many women like to talk on the phone in front of the window
Invalidate	An old man dressed in med-evil clothing holds an axe while standing on a hill.	He takes off his costume.
Support	An old man dressed in med-evil clothing holds an axe while standing on a hill.	The people all line up to reenact an event in history.
Neutral	An old man dressed in med-evil clothing holds an axe while standing on a hill.	Most cities have historical reenactments.
Invalidate	A boy and girl are kissing by a lake.	boy fighting a girl  in the lake side.
Support	A boy and girl are kissing by a lake.	A boy and girl sitting in a bench so closely as if there is no gap between them.
Neutral	A boy and girl are kissing by a lake.	Now a days people like to Kiss in public places more often.
Invalidate	A wolf moves over the snow.	The wolf rests in his den.
Support	A wolf moves over the snow.	The wolf makes tracks in the white powder.
Neutral	A wolf moves over the snow.	Most wolves can acclimate to the snow.
Invalidate	Two girls are posing behind a tree with big smiles.	Police officers remove women from green areas because of bandit that is loose
Support	Two girls are posing behind a tree with big smiles.	obviously my daughters are happy to take a picture near this tree
Neutral	Two girls are posing behind a tree with big smiles.	Many girls like to take pictures near a tree
Invalidate	Several construction workers with orange safety vests are digging into the ground.	The workers go get some lunch.
Support	Several construction workers with orange safety vests are digging into the ground.	The workers try to make the hole as deep as they can.
Neutral	Several construction workers with orange safety vests are digging into the ground.	Most construction workers sweat a lot while working.
Invalidate	A woman in a white shirts plays in the leafs with two children.	The three people get some food in the kitchen.
Support	A woman in a white shirts plays in the leafs with two children.	The three people make big piles to jump in.
Neutral	A woman in a white shirts plays in the leafs with two children.	Most people enjoy playing in the fall leaves.
Invalidate	A group of people gathered in front of a doorway.	People are welcoming a special guest at their apartment.
Support	A group of people gathered in front of a doorway.	People are gathering at the entrance  off apartment
Neutral	A group of people gathered in front of a doorway.	People gather at entrance for a ceremony.
Invalidate	Man playing for a baseball team with a blue protective hat and baseball uniform, playing for South Carolina, is swinging the bat and missing the ball.	The blue team's captain is giving him a piece of his mind for getting out without scoring a single run.
Support	Man playing for a baseball team with a blue protective hat and baseball uniform, playing for South Carolina, is swinging the bat and missing the ball.	He is feeling the pressure mounting as there are only two strikes left before he is called out.
Neutral	Man playing for a baseball team with a blue protective hat and baseball uniform, playing for South Carolina, is swinging the bat and missing the ball.	Baseball requires a lot of concentration and the players need to wear proper protective equipment if they are to play.
Invalidate	Man throwing a Frisbee around another man.	Man is going to home.
Support	Man throwing a Frisbee around another man.	The man play throw  the Frisbee.
Neutral	Man throwing a Frisbee around another man.	These days
Invalidate	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	the man is back home
Support	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	he is doing tricks in his bike
Neutral	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	Daredevils have to be really crazy to do what they do
Invalidate	One woman and four men wearing black shirts standing on the grass in the shade.	The men and the woman get on the bus they were waiting for.
Support	One woman and four men wearing black shirts standing on the grass in the shade.	One man and four women chat about the weather as they stand on the grass.
Neutral	One woman and four men wearing black shirts standing on the grass in the shade.	Waiting for the bus can be boring.
Invalidate	Some people climbing a mountain.	Some people sitting on the top of mountain
Support	Some people climbing a mountain.	They support on another as they battle the wind and the snow.
Neutral	Some people climbing a mountain.	This is very interesting to people
Invalidate	A young boy attempts to catch a rugby ball at the beach while dressed in a very colorful outfit.	He changes clothes to swim in ocean
Support	A young boy attempts to catch a rugby ball at the beach while dressed in a very colorful outfit.	He asked friend to throw ball at him
Neutral	A young boy attempts to catch a rugby ball at the beach while dressed in a very colorful outfit.	Boys can spend hours at beach with swimming and playing with friends
Invalidate	A group of woman sit underneath a banner of flags.	The group gets food at a restaurant.
Support	A group of woman sit underneath a banner of flags.	The woman relaxes while off their feet.
Neutral	A group of woman sit underneath a banner of flags.	Most people prefer to sit instead of stand.
Invalidate	two men play guitar together on a boat with their friends.	They all had a great lunch
Support	two men play guitar together on a boat with their friends.	one of the friend sing song superbly
Neutral	two men play guitar together on a boat with their friends.	Now a days people party in sea sides
Invalidate	Two men practicing marital arts while using sticks.	The two men go to a restaurant to eat.
Support	Two men practicing marital arts while using sticks.	The two men hit each other hard.
Neutral	Two men practicing marital arts while using sticks.	Most people hate martial arts.
Invalidate	An elderly man sits in a chair in an alleyway.	He is going to have dinner
Support	An elderly man sits in a chair in an alleyway.	He enjoys the evening time by watching the playing childrens in a narrow passage between buildings.
Neutral	An elderly man sits in a chair in an alleyway.	Old age people spending their time by doing something on the nearby areas will help them to refresh the mind and stay strong.
Invalidate	Little blond boy is falling onto a bed.	Little boy standing on the bed
Support	Little blond boy is falling onto a bed.	The boy very feel to falling onto a bed
Neutral	Little blond boy is falling onto a bed.	People are careful hand anything
Invalidate	A group of four young men and one young woman holding spray paint cans and smiling next to their artwork.	There was no one out at this time of night.
Support	A group of four young men and one young woman holding spray paint cans and smiling next to their artwork.	They know what they have done is illegal but they don't care.
Neutral	A group of four young men and one young woman holding spray paint cans and smiling next to their artwork.	Art is a wonderful form of self expression.
Invalidate	Young boy holding a toy in a store.	Toy store is closed due to maintenance
Support	Young boy holding a toy in a store.	My baby also wants the same toy that boy is holding
Neutral	Young boy holding a toy in a store.	I secretly enjoy going to toy stores just for soft toys
Invalidate	Young girl sliding down an inflated slide	The girl sits with her friends at a table.
Support	Young girl sliding down an inflated slide	The slide provides plenty of joy for the girl.
Neutral	Young girl sliding down an inflated slide	A slide can be fun for both children and adults.
Invalidate	Older Asian man looks on while sitting in his shop.	the shop was over crowded so everyone in the shop was busy with their work
Support	Older Asian man looks on while sitting in his shop.	ASIAN MAN IS SITTING IN THE SHOP
Neutral	Older Asian man looks on while sitting in his shop.	as the parade went across his shop
Invalidate	A crowd of young people gathered at a small entertainment event.	The crowd disperses and goes home in their separate cars.
Support	A crowd of young people gathered at a small entertainment event.	The crowd waits for the first band to play.
Neutral	A crowd of young people gathered at a small entertainment event.	Most people enjoy going to entertainment venues.
Invalidate	Two men trying to fold a towel.	The men get food in a restaurant.
Support	Two men trying to fold a towel.	The men shape the towel as best they can.
Neutral	Two men trying to fold a towel.	Most people like to use towels.
Invalidate	Minor league pitcher	The pitcher no longer wants to be a pitcher
Support	Minor league pitcher	This is the first time the pitcher ever came up to pitch
Neutral	Minor league pitcher	The weather was pretty drafty that day
Invalidate	A man in a white polo shirt speaks into a microphone with a sign behind him that reads, "Truth!"	Everyone has left and gone home for the evening.
Support	A man in a white polo shirt speaks into a microphone with a sign behind him that reads, "Truth!"	He shares his message with the eager crowd.
Neutral	A man in a white polo shirt speaks into a microphone with a sign behind him that reads, "Truth!"	Freedom of speech is a right we should be grateful for.
Invalidate	Two men, seated side-by-side, look at something on a computer that one man is pointing to with a pen.	Everyone has left and gone home for the day.
Support	Two men, seated side-by-side, look at something on a computer that one man is pointing to with a pen.	They discuss the information presented on the screen.
Neutral	Two men, seated side-by-side, look at something on a computer that one man is pointing to with a pen.	Computers have improved our lives in so many ways.
Invalidate	A hockey player wearing a red uniform reaches for the puck as others follow.	Entire team is celebrating today's winning.
Support	A hockey player wearing a red uniform reaches for the puck as others follow.	Others are trying to prevent him from reaching.
Neutral	A hockey player wearing a red uniform reaches for the puck as others follow.	Both the teams are very strong
Invalidate	A crowd of people gathered in front of a building at night.	Moments later an explosion make everyone run away
Support	A crowd of people gathered in front of a building at night.	an union has invited to a demonstration
Neutral	A crowd of people gathered in front of a building at night.	The building is one of the oldest in the city
Invalidate	A group of people stand in the snow in a mountain.	They are back to resort and having dinner at restaurant.
Support	A group of people stand in the snow in a mountain.	They haven't seen snow before. It's their first time and they are loving it.
Neutral	A group of people stand in the snow in a mountain.	They have booked tickets of latest movie show.
Invalidate	A couple holding hands while walking together down the street.	The couple is talking to the shop clerk.
Support	A couple holding hands while walking together down the street.	The couple goes to a restaurant to eat.
Neutral	A couple holding hands while walking together down the street.	Most people see walking as a good form of exercise.
Invalidate	A group of women walking away from a beach.	The group of women are eating dinner at their hotel.
Support	A group of women walking away from a beach.	The group of women spot their car in the beach parking lot.
Neutral	A group of women walking away from a beach.	The women have a great time with each other at the beach.
Invalidate	A baby is sleeping with a stuffed animal.	The mom looks the baby happily
Support	A baby is sleeping with a stuffed animal.	A person is reading a magazine
Neutral	A baby is sleeping with a stuffed animal.	sleeping with a stuffed animal
Invalidate	A pitcher prepares to throw a ball as a runner heads for third base.	the referee stopped the game because one of the players felt sick
Support	A pitcher prepares to throw a ball as a runner heads for third base.	that is the last game of the season and that may be the final point
Neutral	A pitcher prepares to throw a ball as a runner heads for third base.	many people went to the stadium last night to see the world series
Invalidate	A man in sunglasses uses a large metal grill.	he has just started his dinner
Support	A man in sunglasses uses a large metal grill.	Everybody in the neighborhood seems to love his pool parties.
Neutral	A man in sunglasses uses a large metal grill.	cooking on the grill is great.
Invalidate	A fancy outfitted bullfighter and bull.	The bullfighter sheds his raggedy coat.
Support	A fancy outfitted bullfighter and bull.	They gaze at each other menacingly
Neutral	A fancy outfitted bullfighter and bull.	It is normal for a bullfighter to dress extravagantly when facing a bull.
Invalidate	A man mountain biking with a blue helmet	The man drives home in his car on which the bike is.
Support	A man mountain biking with a blue helmet	He rides his bike through several cool rock structures.
Neutral	A man mountain biking with a blue helmet	Mountain biking can be a good form of exercise.
Invalidate	Three girls with long brown hair are sitting next to each other near a tree.	They are going to reach home
Support	Three girls with long brown hair are sitting next to each other near a tree.	They are taking rest at a garden for the fresh air
Neutral	Three girls with long brown hair are sitting next to each other near a tree.	The Green Environment will give shelter for everyone all times
Invalidate	A skier in a ski suit is skiing downhill, near a fence.	The skier puts his skis away.
Support	A skier in a ski suit is skiing downhill, near a fence.	The skier skies as fast as he can.
Neutral	A skier in a ski suit is skiing downhill, near a fence.	Skiing is a great winter hobby.
Invalidate	a boy jumps.	The boy bruised his knee
Support	a boy jumps.	The wall is high
Neutral	a boy jumps.	Being physically active is becoming a rare trait in children these days
Invalidate	A man in zombie makeup is pretending to eat a brain.	The zombie is in a cafeteria asking for a cake.
Support	A man in zombie makeup is pretending to eat a brain.	It's halloween so there are people in costume.
Neutral	A man in zombie makeup is pretending to eat a brain.	People need to have fun to forget about problems.
Invalidate	A blond woman and a man are gathering outside with people.	The streets are deserted at this time of night.
Support	A blond woman and a man are gathering outside with people.	Most of the crowd are maintaining social distancing.
Neutral	A blond woman and a man are gathering outside with people.	Gatherings of more than a few people are happening less frequently nowadays because of Covid.
Invalidate	Two little kids are intrigued by some food at a market.	the stole a candy and were stopped by the security
Support	Two little kids are intrigued by some food at a market.	they asked their mother if they could have some
Neutral	Two little kids are intrigued by some food at a market.	that market was full of baked bread
Invalidate	A woman posing with a statue along side a group of boys	The lights surrounding the statue went off and it is too dark to take photos
Support	A woman posing with a statue along side a group of boys	the boys also joined with her and giving a funny pose
Neutral	A woman posing with a statue along side a group of boys	girls always love to pose more than the boys
Invalidate	A group of people, dressed in casual clothes and baseball caps, congregating in a park.	The park is completely empty
Support	A group of people, dressed in casual clothes and baseball caps, congregating in a park.	The has assembled today for their annual family picnic.
Neutral	A group of people, dressed in casual clothes and baseball caps, congregating in a park.	Hats are a great way to keep the sun out of your eyes.
Invalidate	A woman in a white tank top is painting a green wall.	The woman takes pictures of her finished painting.
Support	A woman in a white tank top is painting a green wall.	She paints over every corner of the wall.
Neutral	A woman in a white tank top is painting a green wall.	Painting is a good hobby for most people.
Invalidate	A soccer player hitting the ball with his head	The player gets some food at the snack bar.
Support	A soccer player hitting the ball with his head	The player tries to aim the ball toward the goal.
Neutral	A soccer player hitting the ball with his head	Most people enjoy playing soccer for exercise.
Invalidate	Girls cheerleading team sitting on the sideline waiting to do their routine	The girls cheerleading team
Support	Girls cheerleading team sitting on the sideline waiting to do their routine	The girls on the cheerleading team are very nervous.
Neutral	Girls cheerleading team sitting on the sideline waiting to do their routine	Cheerleading is an excellent choice for extracurricular activities.
Invalidate	A woman showing a large freestanding grill at what looks to be a Home Depot store.	the woman couldn't sell it that day because anyone was interesnted
Support	A woman showing a large freestanding grill at what looks to be a Home Depot store.	One woman looks interested in it.
Neutral	A woman showing a large freestanding grill at what looks to be a Home Depot store.	many items are sold by the woman
Invalidate	Older man in woods with plants.	He sighs as he surveys his concrete and fluorescent light office after the beauty of his morning walk.
Support	Older man in woods with plants.	The resurrection ferns atop the trees bring him special joy.
Neutral	Older man in woods with plants.	Many studies support the benefits of spending time in nature.
Invalidate	A young man skateboards in black shoes, black pants, and a white top with sunglasses.	the man got stuck a hole and fell over
Support	A young man skateboards in black shoes, black pants, and a white top with sunglasses.	the man is going to the basketball pitch
Neutral	A young man skateboards in black shoes, black pants, and a white top with sunglasses.	a lady was taking the dog out
Invalidate	The young man has just crossed a rickety footbridge.	He is having a rest on a boulder to calm his nerves.
Support	The young man has just crossed a rickety footbridge.	It sways and creaks as the vibrations pass through it.
Neutral	The young man has just crossed a rickety footbridge.	The bridge has always posed a challenge for persons wanting to get to the other side.
Invalidate	Man sitting in a van talks to two young girls.	The man scaring the girls that are walking at night
Support	Man sitting in a van talks to two young girls.	The man is very flirtatious  towards the girls
Neutral	Man sitting in a van talks to two young girls.	The man is driving his van
Invalidate	A man is walking down the street, on a rainy day, holding a newspaper over his head.	The man had his newspaper stolen from him and is left alone in the rain
Support	A man is walking down the street, on a rainy day, holding a newspaper over his head.	The newspaper ink is bleeding into the man's clothes
Neutral	A man is walking down the street, on a rainy day, holding a newspaper over his head.	Today's newspaper is large print
Invalidate	A young man gives a peace sign as he jumps into a pool surrounded by foliage.	The man gets some food at a snack bar.
Support	A young man gives a peace sign as he jumps into a pool surrounded by foliage.	The man leaps as high as he can.
Neutral	A young man gives a peace sign as he jumps into a pool surrounded by foliage.	Most people enjoy swimming in pools.
Invalidate	A man jumps near a water fountain.	the man is recieving a fine by the police officer because he couldn't dive into the fountain
Support	A man jumps near a water fountain.	it is such a hot day so he jumping into the fountain
Neutral	A man jumps near a water fountain.	in the summer days maany young people enjoyed the refreshment of the fountain
Invalidate	Two small blond children blowing bubbles in a park.	They go back home with parents
Support	Two small blond children blowing bubbles in a park.	Children are trying to make as big bubble as possible
Neutral	Two small blond children blowing bubbles in a park.	It is fun to play in park
Invalidate	A group of kids play around in water.	Children are protecting themselves from heavy rain
Support	A group of kids play around in water.	Life guards are apprehensive with whoever enters the water
Neutral	A group of kids play around in water.	this intense summer many people seek to cool off in the water
Invalidate	A motorcyclist racing down a drag strip.	He is inspecting his bike after the race.
Support	A motorcyclist racing down a drag strip.	He is taking part in the race to win the prize.
Neutral	A motorcyclist racing down a drag strip.	Motorcyclist take part in race usually.
Invalidate	A dog with a muzzle on.	The dog is playing with a boy using frisbee.
Support	A dog with a muzzle on.	The dog is not able to bark loudly because he is muzzled..
Neutral	A dog with a muzzle on.	Dogs are rarely muzzle on
Invalidate	A man and woman are kissing while the man holds the leash of a dog.	They laughed as the dog barked and jumped up trying to join.
Support	A man and woman are kissing while the man holds the leash of a dog.	They are feeling the warmth of each other.
Neutral	A man and woman are kissing while the man holds the leash of a dog.	Fresh air does the body good.
Invalidate	A man in a blue jacket bikes down a forest path.	the man is hit by another biker and fell
Support	A man in a blue jacket bikes down a forest path.	that path is perfect for downhill
Neutral	A man in a blue jacket bikes down a forest path.	the temperature was a little cold but perfect for a ride
Invalidate	Four riders on race horses wearing brightly colored jerseys.	The rider in the red jersey dismounts and takes his prize
Support	Four riders on race horses wearing brightly colored jerseys.	As they gallop down the track in line
Neutral	Four riders on race horses wearing brightly colored jerseys.	It is helpful that different riders wear different colored jerseys as it makes it easier to distinguish between them during a race
Invalidate	The furry brown dog is running through the grassy area.	The dog is taking rest.
Support	The furry brown dog is running through the grassy area.	The dog looks like it is having fun.
Neutral	The furry brown dog is running through the grassy area.	I was flying a kite in the field.
Invalidate	A contemplative man sits alone at a sidewalk restaurant table.	He pays the bill
Support	A contemplative man sits alone at a sidewalk restaurant table.	A man order the food in the restaurant
Neutral	A contemplative man sits alone at a sidewalk restaurant table.	People are enjoy to eating a food in restaurant
Invalidate	A group of young people relax in a park while one reaches toward a swing attached to a tree.	It was bingo night a day ago at the Harbor Oaks Retirement home.
Support	A group of young people relax in a park while one reaches toward a swing attached to a tree.	The youths enjoying spending time together and having fun
Neutral	A group of young people relax in a park while one reaches toward a swing attached to a tree.	On a weekend after busy week its better to meet friends
Invalidate	There is a driver in back, soda bottles in front, and a blue barrel in the middle.	The person gets out of vehicles.
Support	There is a driver in back, soda bottles in front, and a blue barrel in the middle.	The person does ride in vehicles.
Neutral	There is a driver in back, soda bottles in front, and a blue barrel in the middle.	The person loves riding in vehicles.
Invalidate	A man making a sand sculpture.	A strong wind with rain chases people off the beach sand
Support	A man making a sand sculpture.	My teachings on how to make sand sculpture are well tapped
